Ime,Priimek,Pozicija,Stevilo_tekem,Minute_na_tekmo,Tocke,Met,Trojke,Prosti_meti
Joel,Embiid,C,66,34.6,33.1,54.8,33.0,
Luka,Doncic,PG,66,36.2,32.4,49.6,34.2,
Damian,Lillard,PG,58,36.3,32.2,46.3,37.1,
Shai,Gilgeous-Alexander,SG,68,35.5,31.4,51.0,34.5,
Giannis,Antetokounmpo,PF,63,32.1,31.1,55.3,27.5,
Jayson,Tatum,PF,74,36.9,30.1,46.6,35.0,
Stephen,Curry,PG,56,34.7,29.4,49.3,42.7,
Kevin,Durant,PF,47,35.6,29.1,56.0,40.4,
LeBron,James,SF,55,35.5,28.9,50.0,32.1,
Donovan,Mitchell,SG,68,35.8,28.3,48.4,38.6,
Devin,Booker,SG,53,34.6,27.8,49.4,35.1,
Kyrie,Irving,PG,60,37.3,27.1,49.4,37.9,
Jaylen,Brown,SF,67,35.9,26.6,49.1,33.5,
Ja,Morant,PG,61,31.9,26.2,46.6,30.7,
Trae,Young,PG,73,34.8,26.2,42.9,33.5,
Zion,Williamson,PF,29,33.0,26.0,60.8,36.8,
Anthony,Davis,C,56,34.0,25.9,56.3,25.7,
Lauri,Markkanen,SF,66,34.4,25.6,49.9,39.1,
Julius,Randle,PF,77,35.5,25.1,45.9,34.3,
De'Aaron,Fox,PG,73,33.4,25.0,51.2,32.4,
Zach,LaVine,SG,77,35.9,24.8,48.5,37.5,
Brandon,Ingram,SF,45,34.2,24.7,48.4,39.0,
Anthony,Edwards,SG,79,36.0,24.6,45.9,36.9,
DeMar,DeRozan,SF,74,36.2,24.5,50.4,32.4,
Nikola,Jokic,C,69,33.7,24.5,63.2,38.3,
Pascal,Siakam,PF,71,37.4,24.2,48.0,32.4,
Jalen,Brunson,PG,68,35.0,24.0,49.1,41.6,
Paul,George,SG,56,34.6,23.8,45.7,37.1,
Kawhi,Leonard,SF,52,33.6,23.8,51.2,41.6,
LaMelo,Ball,PG,36,35.2,23.3,41.1,37.6,
Bradley,Beal,SG,50,33.5,23.2,50.6,36.5,
Kristaps,Porzingis,C,65,32.6,23.2,49.8,38.5,
Jimmy,Butler,SF,64,33.4,22.9,53.9,35.0,
Jalen,Green,SG,76,34.2,22.1,41.7,33.8,
Keldon,Johnson,SF,63,32.7,22.0,45.2,32.9,
Klay,Thompson,SG,69,33.0,21.9,43.6,41.2,
Bojan,Bogdanovic,SF,59,32.1,21.6,48.8,41.1,
Darius,Garland,PG,69,35.5,21.6,46.2,41.0,
Desmond,Bane,SG,58,31.8,21.5,47.9,40.8,
Kyle,Kuzma,PF,64,35.0,21.2,44.8,33.3,
Terry,Rozier,SG,63,35.3,21.1,41.5,32.7,
Anfernee,Simons,SG,62,35.0,21.1,44.7,37.7,
James,Harden,PG,58,36.8,21.0,44.1,38.5,
CJ,McCollum,PG,75,35.3,20.9,43.7,38.9,
Jordan,Clarkson,PG,61,32.6,20.8,44.4,33.8,
Karl-Anthony,Towns,PF,29,33.0,20.8,49.5,36.6,
Tyrese,Haliburton,PG,56,33.6,20.7,49.0,40.0,
Jerami,Grant,PF,63,35.7,20.5,47.5,40.1,
Dejounte,Murray,PG,74,36.4,20.5,46.4,34.4,
Bam,Adebayo,C,75,34.6,20.4,54.0,8.3,
Jordan,Poole,SG,82,30.0,20.4,43.0,33.6,
Tyrese,Maxey,PG,60,33.6,20.3,48.1,43.4,
Kelly,Oubre Jr.,SG,48,32.3,20.3,43.1,31.9,
Mikal,Bridges,SF,83,35.7,20.1,46.8,38.2,
Tyler,Herro,PG,67,34.9,20.1,43.9,37.8,
Paolo,Banchero,PF,72,33.8,20.0,42.7,29.8,
Jamal,Murray,PG,65,32.8,20.0,45.4,39.8,
Cade,Cunningham,SG,12,33.3,19.9,41.5,27.9,
RJ,Barrett,SF,73,33.9,19.6,43.4,31.0,
Jrue,Holiday,PG,67,32.6,19.3,47.9,38.4,
Fred,VanVleet,PG,69,36.7,19.3,39.3,34.2,
Kevin,Porter,PG,59,34.3,19.2,44.2,36.6,
Domantas,Sabonis,C,79,34.6,19.1,61.5,37.3,
Jaren,Jackson Jr.,PF,63,28.4,18.6,50.6,35.5,
Franz,Wagner,SG,80,32.6,18.6,48.5,36.1,
Devin,Vassell,SG,38,31.1,18.5,43.9,38.7,
Deandre,Ayton,C,67,30.4,18.0,58.9,29.2,
Myles,Turner,C,62,29.4,18.0,54.8,37.3,
D'Angelo,Russell,PG,71,32.5,17.8,46.9,39.6,
Nikola,Vucevic,C,82,33.5,17.6,52.0,34.9,
Michael,Porter Jr.,SF,62,29.0,17.4,48.7,41.4,
Gary,Trent Jr.,SG,66,32.1,17.4,43.3,36.9,
Spencer,Dinwiddie,PG,79,34.5,17.3,43.8,36.9,
Andrew,Wiggins,SF,37,32.2,17.1,47.3,39.6,
Norman,Powell,SG,60,26.1,17.0,47.9,39.7,
OG,Anunoby,SF,67,35.6,16.8,47.6,38.7,
Buddy,Hield,SF,80,31.0,16.8,45.8,42.5,
Bennedict,Mathurin,SF,78,28.5,16.7,43.4,32.3,
Josh,Giddey,PG,76,31.2,16.6,48.2,32.5,
Christian,Wood,C,67,26.0,16.6,51.5,37.6,
Aaron,Gordon,PF,68,30.3,16.3,56.4,34.7,
Jaden,Ivey,SG,74,31.1,16.3,41.6,34.3,
